date,bitcoin,btc
2017-05-08 00:48:00,29,5
2017-05-08 00:56:00,31,0
2017-05-08 01:04:00,23,8
2017-05-08 01:12:00,66,3
2017-05-08 01:20:00,54,5
2017-05-08 01:28:00,49,8
2017-05-08 01:36:00,46,3
2017-05-08 01:44:00,38,0
2017-05-08 01:52:00,54,8
2017-05-08 02:00:00,36,8
2017-05-08 02:08:00,49,0
2017-05-08 02:16:00,57,3
2017-05-08 02:24:00,73,0
2017-05-08 02:32:00,63,3
2017-05-08 02:40:00,67,0
2017-05-08 02:48:00,48,0
2017-05-08 02:56:00,56,8
2017-05-08 03:04:00,41,0
2017-05-08 03:12:00,46,3
2017-05-08 03:20:00,43,3
2017-05-08 03:28:00,35,8
2017-05-08 03:36:00,80,8
2017-05-08 03:44:00,63,3
2017-05-08 03:52:00,58,3
2017-05-08 04:00:00,62,6
2017-05-08 04:08:00,64,6
2017-05-08 04:16:00,59,6
2017-05-08 04:24:00,45,8
2017-05-08 04:32:00,70,3
2017-05-08 04:40:00,100,3
2017-05-08 04:48:00,41,8
2017-05-08 04:56:00,41,0
2017-05-08 05:04:00,71,5
2017-05-08 05:12:00,48,0
2017-05-08 05:20:00,56,0
2017-05-08 05:28:00,42,5
2017-05-08 05:36:00,70,3
2017-05-08 05:44:00,33,3
2017-05-08 05:52:00,48,3
2017-05-08 06:00:00,37,7
2017-05-08 06:08:00,63,5
2017-05-08 06:16:00,43,0
2017-05-08 06:24:00,49,2
2017-05-08 06:32:00,60,5
2017-05-08 06:40:00,48,7
2017-05-08 06:48:00,57,2
2017-05-08 06:56:00,40,2
2017-05-08 07:04:00,53,2
2017-05-08 07:12:00,48,4
2017-05-08 07:20:00,60,2
2017-05-08 07:28:00,54,4
2017-05-08 07:36:00,30,0
2017-05-08 07:44:00,47,2
2017-05-08 07:52:00,40,2
2017-05-08 08:00:00,25,4
2017-05-08 08:08:00,33,2
2017-05-08 08:16:00,51,6
2017-05-08 08:24:00,35,2
2017-05-08 08:32:00,41,4
2017-05-08 08:40:00,24,2
2017-05-08 08:48:00,48,0
2017-05-08 08:56:00,44,2
2017-05-08 09:04:00,40,8
2017-05-08 09:12:00,22,6
2017-05-08 09:20:00,43,4
2017-05-08 09:28:00,33,2
2017-05-08 09:36:00,29,0
2017-05-08 09:44:00,54,0
2017-05-08 09:52:00,44,6
2017-05-08 10:00:00,46,8
2017-05-08 10:08:00,44,6
2017-05-08 10:16:00,40,4
2017-05-08 10:24:00,49,0
2017-05-08 10:32:00,35,4
2017-05-08 10:40:00,44,0
2017-05-08 10:48:00,34,4
2017-05-08 10:56:00,27,4
2017-05-08 11:04:00,28,4
2017-05-08 11:12:00,41,3
2017-05-08 11:20:00,58,5
2017-05-08 11:28:00,45,3
2017-05-08 11:36:00,60,2
2017-05-08 11:44:00,59,0
2017-05-08 11:52:00,37,3
2017-05-08 12:00:00,44,3
2017-05-08 12:08:00,44,0
2017-05-08 12:16:00,39,3
2017-05-08 12:24:00,34,5
2017-05-08 12:32:00,35,0
2017-05-08 12:40:00,38,3
2017-05-08 12:48:00,36,1
2017-05-08 12:56:00,40,1
2017-05-08 13:04:00,38,0
2017-05-08 13:12:00,39,3
2017-05-08 13:20:00,43,3
2017-05-08 13:28:00,34,1
2017-05-08 13:36:00,49,0
2017-05-08 13:44:00,42,1
2017-05-08 13:52:00,28,1
2017-05-08 14:00:00,42,3
2017-05-08 14:08:00,36,3
2017-05-08 14:16:00,39,3
2017-05-08 14:24:00,48,8
2017-05-08 14:32:00,40,3
2017-05-08 14:40:00,53,1
2017-05-08 14:48:00,51,3
2017-05-08 14:56:00,43,3
2017-05-08 15:04:00,40,1
2017-05-08 15:12:00,53,4
2017-05-08 15:20:00,49,0
2017-05-08 15:28:00,55,1
2017-05-08 15:36:00,52,4
2017-05-08 15:44:00,63,4
2017-05-08 15:52:00,49,3
2017-05-08 16:00:00,42,1
2017-05-08 16:08:00,39,1
2017-05-08 16:16:00,44,8
2017-05-08 16:24:00,54,3
2017-05-08 16:32:00,53,4
2017-05-08 16:40:00,50,3
2017-05-08 16:48:00,52,4
2017-05-08 16:56:00,39,1
2017-05-08 17:04:00,43,4
2017-05-08 17:12:00,42,4
2017-05-08 17:20:00,43,1
2017-05-08 17:28:00,37,3
2017-05-08 17:36:00,30,7
2017-05-08 17:44:00,45,3
2017-05-08 17:52:00,45,1
2017-05-08 18:00:00,32,1
2017-05-08 18:08:00,40,3
2017-05-08 18:16:00,47,4
2017-05-08 18:24:00,44,1
2017-05-08 18:32:00,40,1
2017-05-08 18:40:00,61,1
2017-05-08 18:48:00,52,4
2017-05-08 18:56:00,43,4
2017-05-08 19:04:00,35,2
2017-05-08 19:12:00,38,2
2017-05-08 19:20:00,51,3
2017-05-08 19:28:00,48,6
2017-05-08 19:36:00,45,5
2017-05-08 19:44:00,56,2
2017-05-08 19:52:00,49,2
2017-05-08 20:00:00,48,2
2017-05-08 20:08:00,41,2
2017-05-08 20:16:00,61,2
2017-05-08 20:24:00,63,2
2017-05-08 20:32:00,42,3
2017-05-08 20:40:00,52,2
2017-05-08 20:48:00,44,2
2017-05-08 20:56:00,42,5
2017-05-08 21:04:00,56,4
2017-05-08 21:12:00,53,6
2017-05-08 21:20:00,58,4
2017-05-08 21:28:00,52,6
2017-05-08 21:36:00,65,0
