date,bitcoin,btc,etherium,etc
2018-03-17 17:36:00,57,5,0,0
2018-03-17 17:44:00,63,2,0,31
2018-03-17 17:52:00,44,1,0,0
2018-03-17 18:00:00,59,4,16,31
2018-03-17 18:08:00,71,4,0,0
2018-03-17 18:16:00,62,1,0,32
2018-03-17 18:24:00,63,2,0,32
2018-03-17 18:32:00,48,1,0,0
2018-03-17 18:40:00,67,1,0,16
2018-03-17 18:48:00,54,0,0,0
2018-03-17 18:56:00,69,0,0,0
2018-03-17 19:04:00,48,5,0,0
2018-03-17 19:12:00,60,2,0,0
2018-03-17 19:20:00,62,2,0,0
2018-03-17 19:28:00,65,7,0,17
2018-03-17 19:36:00,75,3,0,0
2018-03-17 19:44:00,59,1,0,17
2018-03-17 19:52:00,60,1,35,0
2018-03-17 20:00:00,58,1,0,0
2018-03-17 20:08:00,64,2,0,18
2018-03-17 20:16:00,66,1,0,0
2018-03-17 20:24:00,54,4,36,0
2018-03-17 20:32:00,79,3,18,0
2018-03-17 20:40:00,85,2,0,0
2018-03-17 20:48:00,75,3,0,18
2018-03-17 20:56:00,58,5,0,19
2018-03-17 21:04:00,51,2,0,38
2018-03-17 21:12:00,63,2,0,0
2018-03-17 21:20:00,83,1,20,0
2018-03-17 21:28:00,47,0,0,0
2018-03-17 21:36:00,60,5,0,0
2018-03-17 21:44:00,62,5,0,0
2018-03-17 21:52:00,49,3,0,0
2018-03-17 22:00:00,49,3,0,0
2018-03-17 22:08:00,71,1,21,21
2018-03-17 22:16:00,75,6,0,0
2018-03-17 22:24:00,51,0,0,0
2018-03-17 22:32:00,60,1,0,0
2018-03-17 22:40:00,60,5,0,0
2018-03-17 22:48:00,70,0,0,0
2018-03-17 22:56:00,72,1,23,0
2018-03-17 23:04:00,61,4,0,23
2018-03-17 23:12:00,51,0,0,47
2018-03-17 23:20:00,81,1,0,0
2018-03-17 23:28:00,57,1,0,0
2018-03-17 23:36:00,66,1,0,0
2018-03-17 23:44:00,58,0,0,24
2018-03-17 23:52:00,63,4,0,0
2018-03-18 00:00:00,56,2,0,0
2018-03-18 00:00:00,49,1,0,0
2018-03-18 00:08:00,71,3,0,0
2018-03-18 00:16:00,48,3,0,0
2018-03-18 00:24:00,62,3,0,31
2018-03-18 00:32:00,60,1,0,62
2018-03-18 00:40:00,76,1,0,0
2018-03-18 00:48:00,71,7,0,0
2018-03-18 00:56:00,75,4,0,0
2018-03-18 01:04:00,70,3,31,0
2018-03-18 01:12:00,73,4,0,0
2018-03-18 01:20:00,55,4,0,0
2018-03-18 01:28:00,60,5,0,31
2018-03-18 01:36:00,58,3,0,63
2018-03-18 01:44:00,68,3,0,63
2018-03-18 01:52:00,56,4,0,0
2018-03-18 02:00:00,75,4,0,0
2018-03-18 02:08:00,59,3,0,0
2018-03-18 02:16:00,78,0,32,0
2018-03-18 02:24:00,70,1,0,0
2018-03-18 02:32:00,72,1,0,0
2018-03-18 02:40:00,75,3,65,0
2018-03-18 02:48:00,72,3,0,0
2018-03-18 02:56:00,85,4,0,0
2018-03-18 03:04:00,65,3,0,0
2018-03-18 03:12:00,89,3,0,100
2018-03-18 03:20:00,67,9,0,0
2018-03-18 03:28:00,83,0,34,0
2018-03-18 03:36:00,81,1,0,0
2018-03-18 03:44:00,54,6,0,0
2018-03-18 03:52:00,57,3,0,0
2018-03-18 04:00:00,63,9,0,35
2018-03-18 04:08:00,71,3,0,35
2018-03-18 04:16:00,67,2,0,0
2018-03-18 04:24:00,79,3,0,36
2018-03-18 04:32:00,77,8,0,0
2018-03-18 04:40:00,69,5,0,0
2018-03-18 04:48:00,72,5,36,0
2018-03-18 04:56:00,83,5,0,0
2018-03-18 05:04:00,51,3,0,0
2018-03-18 05:12:00,71,2,0,0
2018-03-18 05:20:00,84,14,0,0
2018-03-18 05:28:00,65,2,0,36
2018-03-18 05:36:00,66,3,0,72
2018-03-18 05:44:00,74,2,36,0
2018-03-18 05:52:00,81,3,36,36
2018-03-18 06:00:00,63,3,0,0
2018-03-18 06:08:00,69,6,0,35
2018-03-18 06:16:00,38,2,0,69
2018-03-18 06:24:00,55,7,34,0
2018-03-18 06:32:00,67,4,0,0
2018-03-18 06:40:00,61,1,33,0
2018-03-18 06:48:00,62,4,0,33
2018-03-18 06:56:00,56,3,0,0
2018-03-18 07:04:00,48,1,0,0
2018-03-18 07:12:00,51,3,0,63
2018-03-18 07:20:00,60,1,0,0
2018-03-18 07:28:00,48,4,31,31
2018-03-18 07:36:00,62,1,0,0
2018-03-18 07:44:00,48,1,30,0
2018-03-18 07:52:00,51,1,0,0
2018-03-18 08:00:00,52,0,0,29
2018-03-18 08:08:00,41,4,0,0
2018-03-18 08:16:00,50,0,0,28
2018-03-18 08:24:00,60,6,0,0
2018-03-18 08:32:00,53,1,28,0
2018-03-18 08:40:00,63,7,0,0
2018-03-18 08:48:00,58,1,0,27
2018-03-18 08:56:00,47,2,0,0
2018-03-18 09:04:00,39,2,26,26
2018-03-18 09:12:00,48,2,0,0
2018-03-18 09:20:00,56,5,0,26
2018-03-18 09:28:00,57,6,0,51
2018-03-18 09:36:00,41,2,0,0
2018-03-18 09:44:00,53,4,0,0
2018-03-18 09:52:00,50,1,0,0
2018-03-18 10:00:00,49,2,0,0
2018-03-18 10:08:00,57,2,0,0
2018-03-18 10:16:00,72,4,0,0
2018-03-18 10:24:00,38,1,25,0
2018-03-18 10:32:00,44,3,0,0
2018-03-18 10:40:00,48,2,0,0
2018-03-18 10:48:00,65,5,24,0
2018-03-18 10:56:00,51,4,24,0
2018-03-18 11:04:00,59,3,0,0
2018-03-18 11:12:00,59,2,0,0
2018-03-18 11:20:00,56,1,23,0
2018-03-18 11:28:00,37,3,0,0
2018-03-18 11:36:00,46,2,0,0
2018-03-18 11:44:00,53,3,0,22
2018-03-18 11:52:00,46,2,0,0
2018-03-18 12:00:00,53,3,44,22
2018-03-18 12:08:00,66,4,0,0
2018-03-18 12:16:00,53,4,0,0
2018-03-18 12:24:00,66,4,0,0
2018-03-18 12:32:00,54,1,0,63
2018-03-18 12:40:00,55,1,0,0
2018-03-18 12:48:00,62,1,0,20
2018-03-18 12:56:00,48,2,0,20
2018-03-18 13:04:00,55,3,0,0
2018-03-18 13:12:00,50,2,0,0
2018-03-18 13:20:00,66,3,0,20
2018-03-18 13:28:00,69,1,19,39
2018-03-18 13:36:00,61,3,0,0
2018-03-18 13:44:00,61,3,19,0
2018-03-18 13:52:00,52,0,0,0
2018-03-18 14:00:00,56,1,0,19
2018-03-18 14:08:00,70,3,0,19
2018-03-18 14:16:00,60,6,0,0
2018-03-18 14:24:00,61,2,0,36
2018-03-18 14:32:00,72,6,0,18
2018-03-18 14:40:00,63,5,0,0
2018-03-18 14:48:00,62,1,0,18
2018-03-18 14:56:00,68,5,0,0
2018-03-18 15:04:00,69,3,0,36
2018-03-18 15:12:00,56,2,0,0
2018-03-18 15:20:00,75,4,0,18
2018-03-18 15:28:00,68,2,18,0
2018-03-18 15:36:00,63,2,0,36
2018-03-18 15:44:00,76,4,0,0
2018-03-18 15:52:00,63,3,0,18
2018-03-18 16:00:00,56,3,0,53
2018-03-18 16:08:00,66,2,0,0
2018-03-18 16:16:00,69,2,0,0
2018-03-18 16:24:00,81,2,0,36
2018-03-18 16:32:00,62,5,0,0
2018-03-18 16:40:00,52,2,0,18
2018-03-18 16:48:00,72,3,0,53
2018-03-18 16:56:00,61,1,0,0
2018-03-18 17:04:00,69,4,18,18
2018-03-18 17:12:00,60,4,0,0
2018-03-18 17:20:00,65,2,0,0
2018-03-18 17:28:00,69,2,0,0
2018-03-18 17:36:00,67,6,0,18
2018-03-18 17:44:00,55,2,0,36
2018-03-18 17:52:00,53,3,0,0
2018-03-18 18:00:00,63,0,0,37
2018-03-18 18:08:00,52,1,0,19
2018-03-18 18:16:00,62,3,0,0
2018-03-18 18:24:00,71,2,19,19
2018-03-18 18:32:00,67,3,0,19
2018-03-18 18:40:00,64,3,0,19
2018-03-18 18:48:00,80,3,0,0
2018-03-18 18:56:00,72,3,19,0
2018-03-18 19:04:00,57,3,0,0
2018-03-18 19:12:00,59,2,19,39
2018-03-18 19:20:00,87,4,0,20
2018-03-18 19:28:00,65,4,0,0
2018-03-18 19:36:00,52,1,0,20
2018-03-18 19:44:00,63,4,0,20
2018-03-18 19:52:00,84,2,40,0
2018-03-18 20:00:00,65,2,0,80
2018-03-18 20:08:00,49,4,0,0
2018-03-18 20:16:00,45,0,0,0
2018-03-18 20:24:00,62,1,0,21
2018-03-18 20:32:00,78,3,0,0
2018-03-18 20:40:00,58,3,0,42
2018-03-18 20:48:00,51,4,0,21
2018-03-18 20:56:00,71,3,0,0
2018-03-18 21:04:00,55,3,22,88
2018-03-18 21:12:00,66,4,22,22
2018-03-18 21:20:00,77,1,0,0
2018-03-18 21:28:00,76,3,0,0
2018-03-18 21:36:00,65,6,0,23
2018-03-18 21:44:00,69,1,0,23
2018-03-18 21:52:00,76,4,0,0
2018-03-18 22:00:00,81,3,0,0
2018-03-18 22:08:00,71,1,0,0
2018-03-18 22:16:00,64,5,0,75
2018-03-18 22:24:00,65,2,26,26
2018-03-18 22:32:00,61,5,0,52
2018-03-18 22:40:00,86,5,26,26
2018-03-18 22:48:00,73,3,0,0
2018-03-18 22:56:00,71,1,0,27
2018-03-18 23:04:00,77,6,28,0
2018-03-18 23:12:00,100,2,0,0
2018-03-18 23:20:00,71,1,28,0
2018-03-18 23:28:00,80,9,0,29
2018-03-18 23:36:00,79,8,0,58
2018-03-18 23:44:00,75,6,29,0
2018-03-18 23:52:00,82,4,0,29
2018-03-19 00:00:00,83,3,0,0
2018-03-19 00:00:00,72,2,0,0
2018-03-19 00:08:00,76,7,0,0
2018-03-19 00:16:00,83,7,0,0
2018-03-19 00:24:00,76,2,0,90
2018-03-19 00:32:00,74,7,0,0
2018-03-19 00:40:00,62,1,0,59
2018-03-19 00:48:00,70,1,0,0
2018-03-19 00:56:00,83,1,0,0
2018-03-19 01:04:00,72,7,0,29
2018-03-19 01:12:00,79,5,0,29
2018-03-19 01:20:00,88,4,0,0
2018-03-19 01:28:00,67,5,0,0
2018-03-19 01:36:00,80,3,0,0
2018-03-19 01:44:00,100,3,0,29
2018-03-19 01:52:00,54,3,0,0
2018-03-19 02:00:00,80,7,60,30
2018-03-19 02:08:00,69,4,0,0
2018-03-19 02:16:00,77,9,0,0
2018-03-19 02:24:00,79,3,0,30
2018-03-19 02:32:00,71,2,0,61
2018-03-19 02:40:00,86,2,31,0
2018-03-19 02:48:00,85,5,0,31
2018-03-19 02:56:00,69,8,0,0
2018-03-19 03:04:00,79,7,31,0
2018-03-19 03:12:00,72,4,0,0
2018-03-19 03:20:00,81,2,0,0
2018-03-19 03:28:00,88,2,0,32
2018-03-19 03:36:00,77,6,0,64
2018-03-19 03:44:00,70,4,0,65
2018-03-19 03:52:00,76,5,0,33
2018-03-19 04:00:00,70,6,33,0
2018-03-19 04:08:00,67,4,0,33
2018-03-19 04:16:00,86,9,0,0
2018-03-19 04:24:00,79,3,0,0
2018-03-19 04:32:00,77,6,0,0
2018-03-19 04:40:00,79,3,0,0
2018-03-19 04:48:00,79,5,34,0
2018-03-19 04:56:00,70,4,0,0
