date,ripple,xrp
2018-02-13 00:48:00,46,20
2018-02-13 00:56:00,66,7
2018-02-13 01:04:00,33,0
2018-02-13 01:12:00,52,13
2018-02-13 01:20:00,92,7
2018-02-13 01:28:00,46,39
2018-02-13 01:36:00,39,13
2018-02-13 01:44:00,26,13
2018-02-13 01:52:00,52,20
2018-02-13 02:00:00,46,13
2018-02-13 02:08:00,59,26
2018-02-13 02:16:00,46,7
2018-02-13 02:24:00,100,33
2018-02-13 02:32:00,52,0
2018-02-13 02:40:00,65,20
2018-02-13 02:48:00,33,7
2018-02-13 02:56:00,47,13
2018-02-13 03:04:00,27,13
2018-02-13 03:12:00,87,20
2018-02-13 03:20:00,33,33
2018-02-13 03:28:00,61,14
2018-02-13 03:36:00,27,7
2018-02-13 03:44:00,54,27
2018-02-13 03:52:00,69,41
2018-02-13 04:00:00,35,14
2018-02-13 04:08:00,28,28
2018-02-13 04:16:00,78,14
2018-02-13 04:24:00,43,7
2018-02-13 04:32:00,50,14
2018-02-13 04:40:00,29,29
2018-02-13 04:48:00,29,22
2018-02-13 04:56:00,58,22
2018-02-13 05:04:00,58,22
2018-02-13 05:12:00,65,36
2018-02-13 05:20:00,51,29
2018-02-13 05:28:00,57,22
2018-02-13 05:36:00,50,21
2018-02-13 05:44:00,77,0
2018-02-13 05:52:00,42,0
2018-02-13 06:00:00,34,14
2018-02-13 06:08:00,47,20
2018-02-13 06:16:00,60,33
2018-02-13 06:24:00,60,13
2018-02-13 06:32:00,26,13
2018-02-13 06:40:00,78,13
2018-02-13 06:48:00,58,0
2018-02-13 06:56:00,51,19
2018-02-13 07:04:00,43,19
2018-02-13 07:12:00,49,6
2018-02-13 07:20:00,36,6
2018-02-13 07:28:00,36,12
2018-02-13 07:36:00,65,12
2018-02-13 07:44:00,58,0
2018-02-13 07:52:00,29,6
2018-02-13 08:00:00,89,17
2018-02-13 08:08:00,73,28
2018-02-13 08:16:00,55,17
2018-02-13 08:24:00,66,6
2018-02-13 08:32:00,66,16
2018-02-13 08:40:00,33,16
2018-02-13 08:48:00,43,16
2018-02-13 08:56:00,59,16
2018-02-13 09:04:00,53,5
2018-02-13 09:12:00,26,0
2018-02-13 09:20:00,78,0
2018-02-13 09:28:00,42,5
2018-02-13 09:36:00,47,10
2018-02-13 09:44:00,62,5
2018-02-13 09:52:00,51,10
2018-02-13 10:00:00,67,15
2018-02-13 10:08:00,56,20
2018-02-13 10:16:00,35,15
2018-02-13 10:24:00,50,35
2018-02-13 10:32:00,30,5
2018-02-13 10:40:00,93,29
2018-02-13 10:48:00,39,0
2018-02-13 10:56:00,54,15
2018-02-13 11:04:00,78,19
2018-02-13 11:12:00,63,10
2018-02-13 11:20:00,76,5
