date,bitcoin,btc,etherium,etc,ripple,xrp,btcoin cash,bcc,eos.io,eos,litecoin,ltc,cardano,ada,str,iota,miota,tron,trx,tether usd,usd tether,usdt
2018-02-12 07:12:00,47,1,0,0,49,22,0,0,0,28,0,0,29,29,69,21,0,46,0,0,0,86
2018-02-12 07:20:00,50,3,0,0,48,0,0,0,0,28,20,0,0,85,57,42,0,0,45,0,0,0
2018-02-12 07:28:00,49,5,27,54,47,5,0,19,0,55,20,0,0,28,45,0,0,0,89,0,0,84
2018-02-12 07:36:00,37,2,0,53,78,21,0,38,0,27,10,10,0,0,100,20,0,44,22,0,0,0
2018-02-12 07:44:00,42,3,0,52,57,15,0,38,0,27,29,19,0,27,11,20,0,43,0,0,0,0
2018-02-12 07:52:00,43,2,0,52,36,5,0,37,0,53,0,9,27,27,33,20,0,21,0,0,0,81
2018-02-12 08:00:00,46,5,0,0,45,15,0,18,0,51,0,0,0,0,42,0,0,0,0,0,0,0
2018-02-12 08:08:00,43,3,25,0,64,15,0,18,0,25,37,0,52,52,84,0,0,21,21,0,0,0
2018-02-12 08:16:00,42,4,0,25,44,19,0,36,0,0,18,0,0,26,73,19,0,41,21,0,0,0
2018-02-12 08:24:00,43,3,0,49,58,5,0,18,0,50,36,9,26,0,62,38,0,0,0,0,0,77
2018-02-12 08:32:00,47,3,0,73,34,24,0,53,0,25,0,9,25,25,72,38,0,41,61,0,0,0
2018-02-12 08:40:00,46,4,0,0,76,29,0,35,0,25,18,9,25,51,20,0,0,60,20,0,0,0
2018-02-12 08:48:00,43,3,0,48,62,19,0,35,0,25,0,27,0,0,51,19,0,0,0,0,0,0
2018-02-12 08:56:00,38,4,0,48,66,9,0,0,0,0,35,18,0,0,70,0,0,20,20,0,0,0
2018-02-12 09:04:00,47,2,0,24,61,14,0,34,0,73,17,9,0,0,40,37,0,20,0,0,0,74
2018-02-12 09:12:00,40,5,23,23,74,14,0,0,0,24,17,0,24,24,79,18,0,0,39,0,0,0
2018-02-12 09:20:00,37,3,0,0,78,9,0,34,0,24,0,0,0,0,39,0,0,19,0,0,0,0
2018-02-12 09:28:00,48,2,0,0,68,5,0,100,0,24,17,0,0,24,10,36,0,19,0,0,0,0
2018-02-12 09:36:00,45,2,0,23,72,27,0,33,0,0,42,8,0,0,58,53,0,19,0,0,0,0
2018-02-12 09:44:00,38,3,23,46,49,0,0,0,0,0,17,17,0,48,96,18,0,19,38,0,0,0
2018-02-12 09:52:00,39,3,0,23,36,9,0,16,0,23,50,0,24,47,67,35,0,57,0,0,0,0
2018-02-12 10:00:00,38,2,0,68,67,22,0,0,0,46,33,0,24,47,38,17,0,19,0,0,0,71
2018-02-12 10:08:00,46,4,0,45,66,22,0,16,0,0,17,8,0,24,57,17,0,37,37,0,0,0
2018-02-12 10:16:00,39,4,22,22,35,4,0,0,0,0,0,0,23,23,66,34,0,0,0,0,0,70
2018-02-12 10:24:00,38,3,0,22,48,9,0,16,0,23,16,0,0,46,37,51,0,0,0,0,0,0
2018-02-12 10:32:00,45,3,0,22,48,17,0,16,0,22,24,0,23,23,9,51,17,18,0,0,0,0
2018-02-12 10:40:00,44,2,0,0,85,9,0,0,0,66,32,0,0,23,64,100,0,36,18,0,0,68
2018-02-12 10:48:00,46,3,22,87,60,17,0,0,0,0,24,0,23,45,0,17,0,36,0,0,0,0
2018-02-12 10:56:00,45,3,0,44,73,21,0,0,0,22,32,16,0,0,37,17,0,36,18,0,0,0
2018-02-12 11:04:00,39,2,0,65,47,21,0,0,0,66,48,16,0,0,18,17,0,0,0,0,0,68
2018-02-12 11:12:00,40,2,0,43,21,8,0,31,0,0,39,0,45,22,81,16,0,53,18,0,0,67
2018-02-12 11:20:00,44,2,0,0,46,12,0,15,0,22,39,0,22,0,18,33,0,35,18,0,0,0
2018-02-12 11:28:00,45,1,0,63,41,8,0,0,21,43,15,8,22,0,70,32,16,17,0,0,0,0
2018-02-12 11:36:00,38,1,0,62,57,12,0,0,0,21,23,0,0,0,35,16,0,0,17,0,0,65
2018-02-12 11:44:00,43,3,0,21,28,4,0,30,0,21,15,0,0,21,43,16,0,17,0,0,0,64
2018-02-12 11:52:00,48,2,0,61,48,16,0,0,0,62,37,0,21,42,26,31,0,68,0,0,0,0
2018-02-12 12:00:00,41,2,0,41,48,8,0,15,0,21,30,0,0,0,9,16,0,17,0,0,0,0
2018-02-12 12:08:00,48,1,0,61,32,16,0,15,0,0,52,0,0,21,34,0,0,17,0,0,0,0
2018-02-12 12:16:00,43,3,0,20,78,16,0,0,0,41,7,0,0,21,17,61,0,33,0,0,0,0
2018-02-12 12:24:00,36,4,0,20,70,27,0,0,0,40,65,0,41,82,17,46,0,16,33,0,0,62
2018-02-12 12:32:00,52,3,39,0,42,27,0,14,0,20,7,0,0,0,24,45,0,16,48,0,0,0
2018-02-12 12:40:00,43,3,19,19,52,15,0,0,0,0,21,0,0,20,32,0,0,16,0,0,0,0
2018-02-12 12:48:00,48,3,19,94,59,15,0,27,0,19,41,7,20,0,16,29,0,31,0,0,0,59
2018-02-12 12:56:00,45,3,0,19,55,0,0,14,0,0,14,14,0,20,16,29,0,16,0,0,0,0
