date,bitcoin,btc,etherium,etc
2018-04-29 20:08:00,64,4,0,32
2018-04-29 20:16:00,52,5,0,65
2018-04-29 20:24:00,45,4,0,0
2018-04-29 20:32:00,55,0,0,0
2018-04-29 20:40:00,39,0,0,0
2018-04-29 20:48:00,63,1,34,0
2018-04-29 20:56:00,53,3,0,0
2018-04-29 21:04:00,63,3,0,0
2018-04-29 21:12:00,62,2,0,37
2018-04-29 21:20:00,66,2,0,74
2018-04-29 21:28:00,62,3,38,0
2018-04-29 21:36:00,59,2,0,0
2018-04-29 21:44:00,61,2,0,0
2018-04-29 21:52:00,62,7,0,0
2018-04-29 22:00:00,100,2,0,82
2018-04-29 22:08:00,84,2,0,42
2018-04-29 22:16:00,51,5,0,42
2018-04-29 22:24:00,55,2,0,0
2018-04-29 22:32:00,71,0,0,0
2018-04-29 22:40:00,67,0,0,44
2018-04-29 22:48:00,48,4,0,0
2018-04-29 22:56:00,65,6,0,0
2018-04-29 23:04:00,75,2,0,91
2018-04-29 23:12:00,73,8,0,46
2018-04-29 23:20:00,63,0,46,46
2018-04-29 23:28:00,73,2,0,93
2018-04-29 23:36:00,87,4,0,0
2018-04-29 23:44:00,75,0,0,0
2018-04-29 23:52:00,57,0,91,0
2018-04-30 00:00:00,69,2,0,47
2018-04-30 00:00:00,62,2,0,25
2018-04-30 00:08:00,60,3,0,25
2018-04-30 00:16:00,60,0,0,0
2018-04-30 00:24:00,56,0,0,24
2018-04-30 00:32:00,72,3,0,24
2018-04-30 00:40:00,54,6,0,24
2018-04-30 00:48:00,55,3,24,24
2018-04-30 00:56:00,56,0,0,0
2018-04-30 01:04:00,56,0,0,0
2018-04-30 01:12:00,61,2,0,24
2018-04-30 01:20:00,57,2,0,23
2018-04-30 01:28:00,72,5,23,0
2018-04-30 01:36:00,51,5,0,47
2018-04-30 01:44:00,57,11,0,0
2018-04-30 01:52:00,50,2,0,46
2018-04-30 02:00:00,67,3,0,0
2018-04-30 02:08:00,67,5,23,47
2018-04-30 02:16:00,70,0,23,0
2018-04-30 02:24:00,65,3,0,0
2018-04-30 02:32:00,71,2,0,47
2018-04-30 02:40:00,62,3,0,48
2018-04-30 02:48:00,69,5,24,0
2018-04-30 02:56:00,68,2,24,0
2018-04-30 03:04:00,68,2,0,24
2018-04-30 03:12:00,53,3,0,0
2018-04-30 03:20:00,76,0,0,25
2018-04-30 03:28:00,47,7,0,0
2018-04-30 03:36:00,68,5,0,25
2018-04-30 03:44:00,81,8,0,0
2018-04-30 03:52:00,63,5,0,0
2018-04-30 04:00:00,58,3,0,0
2018-04-30 04:08:00,72,7,0,100
2018-04-30 04:16:00,64,2,0,0
2018-04-30 04:24:00,53,2,0,25
2018-04-30 04:32:00,50,3,0,0
2018-04-30 04:40:00,71,2,0,0
2018-04-30 04:48:00,60,3,24,0
2018-04-30 04:56:00,70,13,0,24
2018-04-30 05:04:00,68,5,0,0
2018-04-30 05:12:00,100,8,0,0
2018-04-30 05:20:00,52,2,0,0
2018-04-30 05:28:00,60,6,23,23
2018-04-30 05:36:00,57,3,23,23
2018-04-30 05:44:00,43,4,0,0
2018-04-30 05:52:00,75,0,0,22
2018-04-30 06:00:00,61,4,0,0
2018-04-30 06:08:00,46,1,0,0
2018-04-30 06:16:00,51,6,0,0
2018-04-30 06:24:00,57,4,21,0
2018-04-30 06:32:00,77,1,0,0
2018-04-30 06:40:00,68,4,0,21
2018-04-30 06:48:00,56,3,0,20
2018-04-30 06:56:00,45,3,0,40
2018-04-30 07:04:00,59,3,0,39
2018-04-30 07:12:00,51,7,0,0
2018-04-30 07:20:00,57,5,0,39
2018-04-30 07:28:00,35,3,0,0
2018-04-30 07:36:00,46,3,0,0
2018-04-30 07:44:00,53,4,0,38
2018-04-30 07:52:00,47,4,19,0
2018-04-30 08:00:00,95,4,19,0
2018-04-30 08:08:00,52,1,0,19
2018-04-30 08:16:00,61,2,18,0
2018-04-30 08:24:00,45,2,0,0
2018-04-30 08:32:00,54,6,18,18
2018-04-30 08:40:00,53,2,0,0
2018-04-30 08:48:00,66,4,0,0
2018-04-30 08:56:00,41,4,0,73
2018-04-30 09:04:00,45,2,0,0
2018-04-30 09:12:00,43,2,0,54
2018-04-30 09:20:00,63,4,18,54
2018-04-30 09:28:00,50,6,0,18
2018-04-30 09:36:00,48,2,0,18
2018-04-30 09:44:00,57,2,0,18
2018-04-30 09:52:00,67,5,0,35
2018-04-30 10:00:00,55,5,0,35
2018-04-30 10:08:00,56,5,18,18
2018-04-30 10:16:00,58,2,0,53
2018-04-30 10:24:00,65,6,17,17
2018-04-30 10:32:00,59,1,0,18
2018-04-30 10:40:00,58,3,0,0
2018-04-30 10:48:00,68,3,0,17
2018-04-30 10:56:00,51,1,0,66
2018-04-30 11:04:00,50,2,0,50
2018-04-30 11:12:00,58,2,0,0
2018-04-30 11:20:00,56,3,0,32
2018-04-30 11:28:00,59,2,0,47
2018-04-30 11:36:00,51,3,0,0
2018-04-30 11:44:00,57,4,0,15
2018-04-30 11:52:00,62,1,0,45
2018-04-30 12:00:00,36,3,0,15
2018-04-30 12:08:00,40,1,0,30
2018-04-30 12:16:00,50,1,0,0
2018-04-30 12:24:00,52,5,0,44
2018-04-30 12:32:00,60,1,0,14
2018-04-30 12:40:00,62,5,0,14
2018-04-30 12:48:00,48,5,0,41
2018-04-30 12:56:00,59,5,0,27
2018-04-30 13:04:00,78,2,0,41
2018-04-30 13:12:00,49,3,0,13
2018-04-30 13:20:00,55,4,13,27
2018-04-30 13:28:00,51,3,0,27
2018-04-30 13:36:00,55,8,0,26
2018-04-30 13:44:00,66,3,13,26
2018-04-30 13:52:00,71,3,13,0
2018-04-30 14:00:00,44,3,0,39
2018-04-30 14:08:00,60,5,0,13
2018-04-30 14:16:00,66,4,0,0
2018-04-30 14:24:00,70,2,13,39
2018-04-30 14:32:00,55,4,0,13
2018-04-30 14:40:00,62,3,0,38
2018-04-30 14:48:00,65,3,0,64
2018-04-30 14:56:00,67,3,0,26
2018-04-30 15:04:00,54,4,0,0
2018-04-30 15:12:00,76,3,0,26
2018-04-30 15:20:00,52,1,13,0
2018-04-30 15:28:00,56,3,0,13
2018-04-30 15:36:00,47,2,0,52
2018-04-30 15:44:00,66,6,0,0
2018-04-30 15:52:00,63,2,0,26
2018-04-30 16:00:00,58,6,0,13
2018-04-30 16:08:00,57,2,0,0
2018-04-30 16:16:00,60,2,0,0
2018-04-30 16:24:00,62,2,0,41
2018-04-30 16:32:00,51,3,0,14
2018-04-30 16:40:00,83,2,0,27
2018-04-30 16:48:00,51,4,0,13
2018-04-30 16:56:00,59,1,0,40
2018-04-30 17:04:00,57,2,13,13
2018-04-30 17:12:00,46,3,0,27
2018-04-30 17:20:00,65,3,14,0
2018-04-30 17:28:00,58,2,0,0
2018-04-30 17:36:00,72,2,14,28
2018-04-30 17:44:00,55,1,14,0
2018-04-30 17:52:00,60,3,14,14
2018-04-30 18:00:00,48,6,14,14
2018-04-30 18:08:00,44,5,0,0
2018-04-30 18:16:00,51,4,0,28
2018-04-30 18:24:00,55,0,14,14
2018-04-30 18:32:00,67,1,14,0
2018-04-30 18:40:00,56,3,0,0
2018-04-30 18:48:00,51,2,0,14
2018-04-30 18:56:00,55,3,0,14
2018-04-30 19:04:00,50,2,14,29
2018-04-30 19:12:00,55,3,15,0
2018-04-30 19:20:00,47,5,0,15
2018-04-30 19:28:00,53,3,0,45
2018-04-30 19:36:00,73,4,0,30
2018-04-30 19:44:00,65,1,32,0
2018-04-30 19:52:00,60,0,0,31
2018-04-30 20:00:00,62,1,0,15
2018-04-30 20:08:00,67,3,0,0
2018-04-30 20:16:00,49,1,0,0
2018-04-30 20:24:00,61,2,0,49
2018-04-30 20:32:00,62,3,0,16
2018-04-30 20:40:00,53,1,0,0
2018-04-30 20:48:00,65,0,0,16
2018-04-30 20:56:00,81,3,0,0
2018-04-30 21:04:00,50,3,0,0
2018-04-30 21:12:00,62,8,0,17
2018-04-30 21:20:00,60,1,0,0
2018-04-30 21:28:00,72,4,0,0
2018-04-30 21:36:00,67,2,0,56
2018-04-30 21:44:00,60,1,0,0
2018-04-30 21:52:00,67,0,19,0
2018-04-30 22:00:00,64,4,0,20
2018-04-30 22:08:00,62,1,0,41
2018-04-30 22:16:00,48,1,0,0
2018-04-30 22:24:00,52,1,0,21
2018-04-30 22:32:00,60,7,0,0
2018-04-30 22:40:00,74,7,0,0
2018-04-30 22:48:00,92,3,0,0
2018-04-30 22:56:00,62,1,44,0
2018-04-30 23:04:00,72,3,0,0
2018-04-30 23:12:00,86,0,0,0
2018-04-30 23:20:00,63,3,0,0
2018-04-30 23:28:00,51,3,0,46
2018-04-30 23:36:00,46,8,0,0
2018-04-30 23:44:00,71,2,0,0
2018-04-30 23:52:00,57,3,0,23
2018-05-01 00:00:00,84,3,0,0
2018-05-01 00:00:00,98,4,0,0
2018-05-01 00:08:00,74,0,0,0
2018-05-01 00:16:00,68,2,0,30
2018-05-01 00:24:00,51,2,0,89
2018-05-01 00:32:00,58,6,0,0
2018-05-01 00:40:00,73,2,0,0
2018-05-01 00:48:00,77,11,29,29
2018-05-01 00:56:00,83,6,0,0
2018-05-01 01:04:00,79,6,0,0
2018-05-01 01:12:00,71,6,0,0
2018-05-01 01:20:00,78,2,0,0
2018-05-01 01:28:00,58,0,0,59
2018-05-01 01:36:00,64,0,0,0
2018-05-01 01:44:00,83,2,0,29
2018-05-01 01:52:00,58,0,0,0
2018-05-01 02:00:00,65,4,0,30
2018-05-01 02:08:00,81,4,0,30
2018-05-01 02:16:00,95,8,0,0
2018-05-01 02:24:00,73,8,0,90
2018-05-01 02:32:00,95,4,0,0
2018-05-01 02:40:00,84,4,0,31
2018-05-01 02:48:00,83,10,0,0
2018-05-01 02:56:00,81,2,0,0
2018-05-01 03:04:00,60,10,0,0
2018-05-01 03:12:00,73,4,0,32
2018-05-01 03:20:00,91,4,0,0
2018-05-01 03:28:00,97,2,32,32
2018-05-01 03:36:00,97,2,0,0
2018-05-01 03:44:00,80,6,0,0
2018-05-01 03:52:00,85,6,0,33
2018-05-01 04:00:00,83,0,0,33
2018-05-01 04:08:00,86,4,0,33
2018-05-01 04:16:00,91,2,0,33
2018-05-01 04:24:00,90,4,0,0
2018-05-01 04:32:00,52,4,0,0
2018-05-01 04:40:00,100,2,0,0
