date,bitcoin,btc,etherium,etc
2018-04-28 17:36:00,63,1,0,0
2018-04-28 17:44:00,45,3,0,24
2018-04-28 17:52:00,48,1,0,0
2018-04-28 18:00:00,47,3,0,25
2018-04-28 18:08:00,48,0,0,25
2018-04-28 18:16:00,47,5,0,25
2018-04-28 18:24:00,57,10,0,0
2018-04-28 18:32:00,55,3,0,26
2018-04-28 18:40:00,52,3,0,0
2018-04-28 18:48:00,47,6,26,0
2018-04-28 18:56:00,43,3,0,0
2018-04-28 19:04:00,68,3,0,0
2018-04-28 19:12:00,54,1,26,26
2018-04-28 19:20:00,42,4,27,0
2018-04-28 19:28:00,52,4,0,0
2018-04-28 19:36:00,65,4,0,0
2018-04-28 19:44:00,54,4,27,0
2018-04-28 19:52:00,50,4,0,0
2018-04-28 20:00:00,59,7,0,27
2018-04-28 20:08:00,53,1,0,81
2018-04-28 20:16:00,69,3,0,0
2018-04-28 20:24:00,45,2,0,29
2018-04-28 20:32:00,66,2,0,0
2018-04-28 20:40:00,46,0,0,0
2018-04-28 20:48:00,62,2,0,0
2018-04-28 20:56:00,65,3,30,0
2018-04-28 21:04:00,65,3,0,31
2018-04-28 21:12:00,84,3,0,62
2018-04-28 21:20:00,49,5,0,32
2018-04-28 21:28:00,66,2,0,0
2018-04-28 21:36:00,86,5,0,0
2018-04-28 21:44:00,56,2,0,100
2018-04-28 21:52:00,50,0,0,34
2018-04-28 22:00:00,46,4,0,0
2018-04-28 22:08:00,55,6,0,35
2018-04-28 22:16:00,52,2,0,36
2018-04-28 22:24:00,69,2,0,0
2018-04-28 22:32:00,55,4,0,0
2018-04-28 22:40:00,62,2,0,37
2018-04-28 22:48:00,51,4,0,0
2018-04-28 22:56:00,49,6,0,38
2018-04-28 23:04:00,75,0,0,0
2018-04-28 23:12:00,65,0,0,0
2018-04-28 23:20:00,74,2,0,0
2018-04-28 23:28:00,49,0,0,39
2018-04-28 23:36:00,69,4,0,0
2018-04-28 23:44:00,72,0,0,0
2018-04-28 23:52:00,58,4,0,0
2018-04-29 00:00:00,67,2,0,0
2018-04-29 00:00:00,61,2,0,0
2018-04-29 00:08:00,52,0,0,0
2018-04-29 00:16:00,63,0,0,0
2018-04-29 00:24:00,70,2,0,0
2018-04-29 00:32:00,57,2,0,0
2018-04-29 00:40:00,59,2,0,0
2018-04-29 00:48:00,47,4,0,50
2018-04-29 00:56:00,45,6,0,0
2018-04-29 01:04:00,72,2,0,0
2018-04-29 01:12:00,61,6,0,0
2018-04-29 01:20:00,40,10,0,50
